[8937497183/euvhb, 4362180300/vykrm, 7108348767/cvubr, 1768815982/ybgpw, 8806556619/olcwu, 6314942111/ccoes, 8877998136/helyi] original
[4362180300/vykrm, 6314942111/ccoes, 1768815982/ybgpw, 8937497183/euvhb, 8877998136/helyi, 7108348767/cvubr, 8806556619/olcwu] d=10
[4362180300/vykrm, 6314942111/ccoes, 8806556619/olcwu, 8877998136/helyi, 7108348767/cvubr, 1768815982/ybgpw, 8937497183/euvhb] d=9
[6314942111/ccoes, 8877998136/helyi, 8937497183/euvhb, 4362180300/vykrm, 8806556619/olcwu, 7108348767/cvubr, 1768815982/ybgpw] d=8
[4362180300/vykrm, 6314942111/ccoes, 1768815982/ybgpw, 8806556619/olcwu, 8937497183/euvhb, 8877998136/helyi, 7108348767/cvubr] d=7
[1768815982/ybgpw, 6314942111/ccoes, 7108348767/cvubr, 8806556619/olcwu, 4362180300/vykrm, 8937497183/euvhb, 8877998136/helyi] d=6
[4362180300/vykrm, 7108348767/cvubr, 8937497183/euvhb, 8806556619/olcwu, 1768815982/ybgpw, 6314942111/ccoes, 8877998136/helyi] d=5
[4362180300/vykrm, 6314942111/ccoes, 8806556619/olcwu, 8937497183/euvhb, 8877998136/helyi, 7108348767/cvubr, 1768815982/ybgpw] d=4
[8806556619/olcwu, 7108348767/cvubr, 6314942111/ccoes, 8937497183/euvhb, 4362180300/vykrm, 1768815982/ybgpw, 8877998136/helyi] d=3
[7108348767/cvubr, 6314942111/ccoes, 4362180300/vykrm, 1768815982/ybgpw, 8806556619/olcwu, 8877998136/helyi, 8937497183/euvhb] d=2
[1768815982/ybgpw, 4362180300/vykrm, 6314942111/ccoes, 7108348767/cvubr, 8806556619/olcwu, 8877998136/helyi, 8937497183/euvhb] d=1
